,index,Ano,Tipo,Total Linha
0,0,1998.0,graduacao,79.0
1766,26,1998.0,mestrado,0.0
1765,25,1998.0,mestrado,0.0
1764,24,1998.0,mestrado,0.0
1763,23,1998.0,mestrado,2.0
1762,22,1998.0,mestrado,0.0
1761,21,1998.0,mestrado,0.0
1760,20,1998.0,mestrado,0.0
1759,19,1998.0,mestrado,0.0
1758,18,1998.0,mestrado,0.0
1757,17,1998.0,mestrado,0.0
1756,16,1998.0,mestrado,0.0
1755,15,1998.0,mestrado,0.0
1754,14,1998.0,mestrado,0.0
1753,13,1998.0,mestrado,0.0
1752,12,1998.0,mestrado,0.0
1751,11,1998.0,mestrado,0.0
1750,10,1998.0,mestrado,0.0
1749,9,1998.0,mestrado,0.0
1748,8,1998.0,mestrado,12.0
1747,7,1998.0,mestrado,0.0
1746,6,1998.0,mestrado,0.0
1745,5,1998.0,mestrado,0.0
1744,4,1998.0,mestrado,3.0
1743,3,1998.0,mestrado,0.0
1742,2,1998.0,mestrado,0.0
1767,27,1998.0,mestrado,0.0
1741,1,1998.0,mestrado,1.0
1768,28,1998.0,mestrado,0.0
6118,28,1998.0,pidrh,0.0
6093,3,1998.0,pidrh,0.0
6094,4,1998.0,pidrh,0.0
6095,5,1998.0,pidrh,0.0
6096,6,1998.0,pidrh,0.0
6097,7,1998.0,pidrh,0.0
6098,8,1998.0,pidrh,0.0
6099,9,1998.0,pidrh,0.0
6100,10,1998.0,pidrh,0.0
6101,11,1998.0,pidrh,0.0
6102,12,1998.0,pidrh,0.0
6103,13,1998.0,pidrh,0.0
6104,14,1998.0,pidrh,0.0
6105,15,1998.0,pidrh,0.0
6106,16,1998.0,pidrh,0.0
6107,17,1998.0,pidrh,0.0
6108,18,1998.0,pidrh,0.0
6109,19,1998.0,pidrh,0.0
6110,20,1998.0,pidrh,0.0
6111,21,1998.0,pidrh,0.0
6112,22,1998.0,pidrh,0.0
6113,23,1998.0,pidrh,0.0
6114,24,1998.0,pidrh,0.0
6115,25,1998.0,pidrh,0.0
6116,26,1998.0,pidrh,0.0
6117,27,1998.0,pidrh,0.0
4351,1,1998.0,capacitacao-professor,0.0
6092,2,1998.0,pidrh,0.0
1740,0,1998.0,mestrado,0.0
6961,1,1998.0,prof_visitante,0.0
896,26,1998.0,doutorado,1.0
895,25,1998.0,doutorado,6.0
894,24,1998.0,doutorado,2.0
893,23,1998.0,doutorado,295.0
892,22,1998.0,doutorado,47.0
891,21,1998.0,doutorado,1.0
890,20,1998.0,doutorado,23.0
889,19,1998.0,doutorado,5.0
888,18,1998.0,doutorado,2.0
887,17,1998.0,doutorado,2.0
886,16,1998.0,doutorado,1.0
885,15,1998.0,doutorado,2.0
884,14,1998.0,doutorado,19.0
883,13,1998.0,doutorado,1.0
882,12,1998.0,doutorado,3.0
881,11,1998.0,doutorado,1.0
880,10,1998.0,doutorado,329.0
879,9,1998.0,doutorado,1.0
878,8,1998.0,doutorado,456.0
877,7,1998.0,doutorado,123.0
876,6,1998.0,doutorado,2.0
875,5,1998.0,doutorado,1.0
874,4,1998.0,doutorado,78.0
873,3,1998.0,doutorado,15.0
872,2,1998.0,doutorado,17.0
897,27,1998.0,doutorado,0.0
6960,0,1998.0,prof_visitante,0.0
898,28,1998.0,doutorado,1.0
6987,27,1998.0,prof_visitante,0.0
6962,2,1998.0,prof_visitante,0.0
6963,3,1998.0,prof_visitante,0.0
6964,4,1998.0,prof_visitante,0.0
6965,5,1998.0,prof_visitante,0.0
6966,6,1998.0,prof_visitante,0.0
6967,7,1998.0,prof_visitante,0.0
6968,8,1998.0,prof_visitante,0.0
6969,9,1998.0,prof_visitante,0.0
6970,10,1998.0,prof_visitante,0.0
6971,11,1998.0,prof_visitante,0.0
6972,12,1998.0,prof_visitante,0.0
6973,13,1998.0,prof_visitante,0.0
6974,14,1998.0,prof_visitante,0.0
