,index,Ano,País,Tipo,Total Linha
0,0,1998,Alemanha,Graduacao,79.0
1766,26,1998,Vaticano,mestrado,0.0
1765,25,1998,Suíça,mestrado,0.0
1764,24,1998,Suécia,mestrado,0.0
1763,23,1998,Reino Unido da Grã-Bretanha e Irlanda do Norte,mestrado,2.0
1762,22,1998,Portugal,mestrado,0.0
1761,21,1998,Polónia,mestrado,0.0
1760,20,1998,Países Baixos (Holanda),mestrado,0.0
1759,19,1998,Nova Zelândia (Aotearoa),mestrado,0.0
1758,18,1998,Noruega,mestrado,0.0
1757,17,1998,México,mestrado,0.0
1756,16,1998,Malásia,mestrado,0.0
1755,15,1998,Japão,mestrado,0.0
1754,14,1998,Itália,mestrado,0.0
1753,13,1998,Israel,mestrado,0.0
1752,12,1998,Irlanda,mestrado,0.0
1751,11,1998,Grécia,mestrado,0.0
1750,10,1998,França,mestrado,0.0
1749,9,1998,Finlândia,mestrado,0.0
1748,8,1998,Estados Unidos da América,mestrado,12.0
1747,7,1998,Espanha,mestrado,0.0
1746,6,1998,Dinamarca,mestrado,0.0
1745,5,1998,Cuba,mestrado,0.0
1744,4,1998,Canadá,mestrado,3.0
1743,3,1998,Bélgica,mestrado,0.0
1742,2,1998,Austrália,mestrado,0.0
1767,27,1998,Venezuela,mestrado,0.0
1741,1,1998,Argentina,mestrado,1.0
1768,28,1998,Áustria,mestrado,0.0
6118,28,1998,Áustria,pidrh,0.0
6093,3,1998,Bélgica,pidrh,0.0
6094,4,1998,Canadá,pidrh,0.0
6095,5,1998,Cuba,pidrh,0.0
6096,6,1998,Dinamarca,pidrh,0.0
6097,7,1998,Espanha,pidrh,0.0
6098,8,1998,Estados Unidos da América,pidrh,0.0
6099,9,1998,Finlândia,pidrh,0.0
6100,10,1998,França,pidrh,0.0
6101,11,1998,Grécia,pidrh,0.0
6102,12,1998,Irlanda,pidrh,0.0
6103,13,1998,Israel,pidrh,0.0
6104,14,1998,Itália,pidrh,0.0
6105,15,1998,Japão,pidrh,0.0
6106,16,1998,Malásia,pidrh,0.0
6107,17,1998,México,pidrh,0.0
6108,18,1998,Noruega,pidrh,0.0
6109,19,1998,Nova Zelândia (Aotearoa),pidrh,0.0
6110,20,1998,Países Baixos (Holanda),pidrh,0.0
6111,21,1998,Polónia,pidrh,0.0
6112,22,1998,Portugal,pidrh,0.0
6113,23,1998,Reino Unido da Grã-Bretanha e Irlanda do Norte,pidrh,0.0
6114,24,1998,Suécia,pidrh,0.0
6115,25,1998,Suíça,pidrh,0.0
6116,26,1998,Vaticano,pidrh,0.0
6117,27,1998,Venezuela,pidrh,0.0
4351,1,1998,Argentina,capacitacao-professor,0.0
6092,2,1998,Austrália,pidrh,0.0
1740,0,1998,Alemanha,mestrado,0.0
6961,1,1998,Argentina,prof_visitante,0.0
896,26,1998,Vaticano,Doutorado,1.0
895,25,1998,Suíça,Doutorado,6.0
894,24,1998,Suécia,Doutorado,2.0
893,23,1998,Reino Unido da Grã-Bretanha e Irlanda do Norte,Doutorado,295.0
892,22,1998,Portugal,Doutorado,47.0
891,21,1998,Polónia,Doutorado,1.0
890,20,1998,Países Baixos (Holanda),Doutorado,23.0
889,19,1998,Nova Zelândia (Aotearoa),Doutorado,5.0
888,18,1998,Noruega,Doutorado,2.0
887,17,1998,México,Doutorado,2.0
886,16,1998,Malásia,Doutorado,1.0
885,15,1998,Japão,Doutorado,2.0
884,14,1998,Itália,Doutorado,19.0
883,13,1998,Israel,Doutorado,1.0
882,12,1998,Irlanda,Doutorado,3.0
881,11,1998,Grécia,Doutorado,1.0
880,10,1998,França,Doutorado,329.0
879,9,1998,Finlândia,Doutorado,1.0
878,8,1998,Estados Unidos da América,Doutorado,456.0
877,7,1998,Espanha,Doutorado,123.0
876,6,1998,Dinamarca,Doutorado,2.0
875,5,1998,Cuba,Doutorado,1.0
874,4,1998,Canadá,Doutorado,78.0
873,3,1998,Bélgica,Doutorado,15.0
872,2,1998,Austrália,Doutorado,17.0
897,27,1998,Venezuela,Doutorado,0.0
6960,0,1998,Alemanha,prof_visitante,0.0
898,28,1998,Áustria,Doutorado,1.0
6987,27,1998,Venezuela,prof_visitante,0.0
6962,2,1998,Austrália,prof_visitante,0.0
6963,3,1998,Bélgica,prof_visitante,0.0
6964,4,1998,Canadá,prof_visitante,0.0
6965,5,1998,Cuba,prof_visitante,0.0
6966,6,1998,Dinamarca,prof_visitante,0.0
6967,7,1998,Espanha,prof_visitante,0.0
6968,8,1998,Estados Unidos da América,prof_visitante,0.0
6969,9,1998,Finlândia,prof_visitante,0.0
6970,10,1998,França,prof_visitante,0.0
6971,11,1998,Grécia,prof_visitante,0.0
6972,12,1998,Irlanda,prof_visitante,0.0
6973,13,1998,Israel,prof_visitante,0.0
6974,14,1998,Itália,prof_visitante,0.0
6975,15,1998,Japão,prof_visitante,0.0
6976,16,1998,Malásia,prof_visitante,0.0
6977,17,1998,México,prof_visitante,0.0
6978,18,1998,Noruega,prof_visitante,0.0
6979,19,1998,Nova Zelândia (Aotearoa),prof_visitante,0.0
6980,20,1998,Países Baixos (Holanda),prof_visitante,0.0
6981,21,1998,Polónia,prof_visitante,0.0
6982,22,1998,Portugal,prof_visitante,0.0
6983,23,1998,Reino Unido da Grã-Bretanha e Irlanda do Norte,prof_visitante,0.0
6984,24,1998,Suécia,prof_visitante,0.0
6985,25,1998,Suíça,prof_visitante,0.0
6986,26,1998,Vaticano,prof_visitante,0.0
6988,28,1998,Áustria,prof_visitante,0.0
